Chunk Number,Original Text Chunk,Summary
1,Février 2018 LINTELLIGENCE ARIIFICIELLE: EXPERIISE PARTOUT ACCESSIBLEATOUS,Chunk 1: A selection of photos from around the world this week
2,FONDATION POUI R LINNOVATION POLITIQUE fondapol.org Serge SOUDOPLATOFF,Chunk 2: All photographs  Serge SOUDOPLATOFF
3,FONDATION POUR L'INNOVATION POLITIQUE fondapol.org fondapol.org,"Chunk 3: All photographs courtesy of AFP, EPA, Getty Images"
4,INTELLIGENCE ARTIFICIELLE: LEXPERTISE PARTOUT ACCESSIBLE À TOUS Serge SOUDOPLATOFF FONDATION POUR,"Chunk 4: All photographs  AFP, EPA, Getty Images"
5,"L'INNOVATION POLITIQUE fondapol.org Lal Fondation pour l'innovation politique est un think tank libéral, progressiste et européen.",Chunk 5: Lal Fondation pour l'innovation politique est
6,Président : Nicolas Bazire Vice Président : Grégoire Chertok Directeur général : Dominique Reynié Présidente du Conseil scientifique et d'évaluation : Laurence Parisot 4,Chunk 6: The Conseil scientifique s
7,"FONDATION POUR LINNOVATION POLITIQUE Un think tank libéral, progressiste et européen La Fondation pour l'innovation politique offre un espace indépendant d'expertise, de réflexion et d'échange tourné vers la production et la diffusion d'idées et de propositions. Elle contribue au pluralisme de la pensée et au",Chunk 7: La Fondation pour l'innovation politique offre un espace indépendant d'expert
8,"renouvellement du débat public dans une perspective libérale, progressiste et européenne. Dans ses travaux, la Fondation privilégie quatre enjeux : la croissance économique, l'écologie, les valeurs et le numérique. Le site fondapol.org met à disposition du public la totalité de ses travaux. La plateforme < Data.fondapol > rend accessibles et utilisables par tous les",Chunk 8: Le fondapol.org nous avons sr  l'occasion d'un ordinateur
9,"données collectées lors de ses différentes enquêtes et en plusieurs langues, lorsqu'il s'agit d'enquêtes internationales. De même, dans la ligne éditoriale de la Fondation, le média < Anthropotechnie > entend explorer les nouveaux territoires ouverts par Pamélioration humaine, le clonage reproductif, lhybridation homme/",Chunk 9: Le média  Anthropotechnie s'agit d'en
10,"machine, l'ingénierie génétique et les manipulations germinales. Il contribue à la réflexion et au débat sur le transhumanisme. < Anthropotechnie > propose des articles traitant des enjeux éthiques, philosophiques et politiques que pose lexpansion des innovations technologiques dans le domaine de l'amélioration du corps et des capacités humaines.",Chunk 10: Les innovations technologiques de la corps et des capacités humaines peut--
11,"Par ailleurs, le média < Trop Libre > offre un regard quotidien critique sur l'actualité et la vie des idées. A Trop Libre > propose également une importante veille dédiée aux effets de la révolution numérique sur les pratiques politiques, économiques et sociales dans sa rubrique < Renaissance numérique >.","Chunk 11: A Trop Libre, le média  Renaissance numérique, avait tre"
12,La Fondation pour l'innovation politique est reconnue d'utilité publique. Elle est indépendante et n'est subventionnée par aucun parti politique. Ses ressources sont publiques et privées. Le soutien des entreprises et des particuliers est essentiel au développement de ses activités. 5,Chunk 12: La Fondation pour l'innovation politique a s'il y avait
13,Sommaire Introduction. 9 1. Lomniprésence de l'intelligence artificielle. 12,"Chunk 13: In our series of letters from African journalists, filmmaker"
14,2. Qu'est-ce que 'intelligence ?. 13 3. Une brève histoire de l'intelligence artificielle et de ses acteurs principaux 14,"Chunk 14: In our series of letters from African journalists, filmmaker"
15,4. Les grandes ruptures de 2011. 19 5. Du big data au data mining 21 6. Limportance de l'apprentissage,"Chunk 15: All photographs  AFP, EPA, Getty Images"
16,24 7. Les grands acteurs de l'intelligence artificielle 26 8. Limpact sur les métiers 28,Chunk 16: Some of the key stories from the past 24 hours
17,9. La médecine 30 10. Le futur 32 Conclusion.,"Chunk 17: All photographs courtesy of AFP, EPA, Getty Images"
18,35 6 RÉSUMÉ Lintelligence artificielle est l'un des sujets de bouleversements majeurs qui affectent notre époque. Rarement une évolution technologique n'aura,Chunk 18: L'Institut National de la Recherche Scientif
19,"engendré autant d'opportunités de résolutions de problèmes, autant de changements dans les usages, autant de peurs. Pourtant, ilnes'agit absolument pas d'une rupture technologique. Linteligence artificielle s'inscrit dans la continuité de linformatique dont la puissance de calcul ne cesse de croitre, augmentée par la disponibilité de grandes masses de",Chunk 19: Linteligence artificielle s'inscrit dans laité de linformatique s
20,"données que le monde Internet sait agréger. intelligence artificielle ne se résume pas à gagner les championnats du monde de GO; elle permet maintenant aux voitures de rouler sans conducteurs, aux robots de devenir de plus en plus autonomes, aux médecins de faire des diagnostics plus fins, aux avocats de faire des contrats plus précis. Après","Chunk 20: Mae tte--tte, l'Institut National de la Recherche Scientifique (INR"
21,"l'information, puis la connaissance, c'est maintenant au tour de l'expertise d'être disponible partout, accessible à tous. Sa rareté, qui jusqu'ici a été source d'un profit légitime mais considérable, est en passe de se transformer en abondance. Seuls les experts les plus pointus, qui auront compris comment tirer parti de la nouveauté qu'apporte l'intelligence artificielle, survivront. Mais","Chunk 21: C'est l'apporte de l'expertise d'tre partout, accessible  tous"
22,c'est potentiellement une très bonne nouvelle pour l'ensemble de l'humanité. 7 8 LINTELLIGENCE ARTIFICIELLE: LEXPERTISE PARTOUT,Chunk 22: C'est un peu t-
23,"ACCESSIBLE À TOUS Serge SOUDOPLATOFF Expert de l'Internet, cofondateur de Sooyoos, Scanderia et Mentia. INTRODUCTION Il faut avoir le courage de regarder les choses avec franchise et sans crainte :",Chunk 23: The French government has announced plans to set up a national network of
24,"nous sommes au début d'une ère nouvelle qui n'épargnera aucun secteur. La combinaison d'algorithmes de plus en plus sophistiqués, de puissances de calcul croissantes, de données qualifiées disponibles dans des bases reliées entre elles grâce à des réseaux de plus en plus rapides, le tout étant disponible sur des smartphones connectés en permanence, va avoir un impact énorme. La",Chunk 24: Une sectaison d'algomes de plus en plus sophistiqués croissant de puissance de calcul
25,"révolution du numérique est encore devant nous. Nous n'en sommes qu'aux balbutiements. La crainte n'est pas tellement que la machine supplante l'humain, sujet que nous aborderons à la fin de cette note, mais surtout que l'impact sur les activités humaines soit disruptif. Ce ne: sont pas seulement certains métiers dits","Chunk 25: La crainte n'est pas tellement que la machinee l'humain, sujet que nous"
