Chunk Number,Original Text Chunk,Summary
1,"HAL open science Thermodynamics-based Artificial Neural Networks for constitutive modeling Filippo Masi, Ioannis Stefanou, Paolo Vannucci, Victor Maffi-Berthier",Chunk 1: Researchers at the Massachusetts Institute of Technology (MIT)
2,"To cite this version: Filippo Masi, Ioannis Stefanou, Paolo Vannucci, Victor Maffi-Berthier. Themmodynamic-based Ar- tificial Neural Networks for constitutive modeling. Journal of the Mechanics and Physics of Solids, 2021, 147, pp.104277. 10,06/ApaDTT. hal-03079127 HAL Id: hal-03079127","Chunk 2: ""Themmodynamic-based Neural Networks"" by Filippo Masi, Ioan"
3,"https//halscience/la-03079127V1 Submitted on 17 Dec 2020 HAL is a multi-disciplinary open access L'archive ouverte pluridisciplinaire HAL, est archive for the deposit and dissemination of sci- destinée au dépôt et à la diffusion de documents",Chunk 3: The HAL archive is a multi-disciplinary open archive for the deposit and dissemination
4,"entific research documents, whether they are pub- scientifiques de niveau recherche, publiés ou non, lished or not. The documents may come from émanant des établissements d'enseignement et de teaching and research institutions in France or recherche français ou étrangers, des laboratoires abroad, or from public or private research centers. publics ou privés. Thermodynamics-based Artificial Neural Networks for constitutive",Chunk 4: The aim of this project is to bring together all the research papers published in France in the last five years.
5,"modeling Filippo Masia,b, Ioannis Stefanou**, Paolo Vannuccir, Victor Maffi-Berthierb aInstitut de Recherche en Génie Civil et Mécanique, UMR 6183, CNRS, Ecole Centrale de Nantes, Université de Nantes, 1 rue de la Noe, F-44300, Nantes, France.",Chunk 5: In: Proceedings of the 6th International Conference on Modelling and Simulation of Earth
6,"bIngérop Conseil et Ingénierie, 18 rue des Deux Gares, F-92500, Rueil-Malmaison, France. PLMV, UMR 8100, Université de Versailles et Saint-Quentin, 55 avenue de Paris, F-78035, Versailles, France. Abstract",Chunk 6: The following is a list of contact details for some of the
7,"Machine Learning methods and, in particular, Artificial Neural Networks (ANNs) have demonstrated promising capabilities in material constitutive modeling. One of the main drawbacks of such approaches is the lack of a rigorous frame based on the laws of physics. This may render physically inconsistent the predictions of a trained network, which can be even dangerous for real applications. Here we propose a new class of data-driven, physics-based, neural networks for constitutive",Chunk 7: Machine learning and artificial intelligence (AI) have emerged as key areas of research in the fields of computer science and engineering.
8,"modeling of strain rate independent processes at the material point level, which we define as Thermodynamic-based Artificial Neural Networks (TANNs). The two basic principles of thermo- dynamics are encoded in the network's architecture by taking advantage of automatic differentiation to compute the numerical derivatives of a network with respect to its inputs. In this way, derivatives of the free-energy, the dissipation rate and their relation with the stress and internal state variables",Chunk 8: A new class of artificial neural networks has been developed for the study of thermo-dynamic processes.
9,"are hardwired in the architecture of TANNS. Consequently, our approach does not have to identify the underlying pattern of thermodynamic laws during training, reducing the need of large data- sets. Moreover the training is more efficient and robust, and the predictions more accurate. Finally and more important, the predictions remain thermodynamicaly consistent, even for unseen data. Based on these features, TANNS are a starting point for data-driven, physics-based constitutive","Chunk 9: In this paper we present TANNS, a novel method for training predictions of thermodynamic laws."
10,"modeling with neural networks. We demonstrate the wide applicability of TANNS for modeling elasto-plastic materials, using both hyper- and hypo-plasticity models. Strain hardening and softening are also considered for the hyper-plastic scenario. Detailed comparisons show that the predictions of TANNS outperform those of standard ANNS.","Chunk 10: In this paper, we report the results of a novel method for predicting the properties of elas"
11,"Finally, we demonstrate that the implementation of the laws of thermodynamics confers to TANNS high degrees of robustness to the presence of noise in the training data, compared to standard approaches. TANNS ' architecture is general, enabling applications to materials with different or more complex behavior, without any modification.","Chunk 11: In this paper, we present a new approach to the training of materials, called TANNS, based on"
12,"Keywords: Data-driven modeling; Machine learning; Artificial neural network; Thermodynamics; Constitutive model. Masi, et al. (2020) preprint, Journal of the Mechanics and Physics of Solids. doi: 101016/mpa202A.0E7 1. Introduction A large spectrum of constitutive models have been proposed in the literature, based on","Chunk 12: A large spectrum of models have been proposed in the literature, based on the following:"
13,"observations and experimental testing. Existing constitutive laws can account for phenomena taking place at various length scales. This is achieved either through heuristic approaches and assumptions or through asymptotic approximations and averaging (e.g. Lloberas Valls et al., 2019; Nitka et al., 2011; Feyel, 2003; Bakhvalov and Panasenko, 1989). The history and the state of a material is commonly taken into account through ad hoc enrichment of simpler",Chunk 13: The history and state of a material can be taken into account through ad hoc enrichment of simpler laws.
14,"constitutive laws and extensive calibration. For this purpose, the laws of thermodynamics offer a useful framework for deriving more sophisticated laws, by intrinsically respecting the energy balance and the entropy production requirements (see e.g. Houlsby and Puzrin, 2000; Einav et al., 2007; Houlsby and Puzrin, 2007; Einav, 2012, among others). An important limitation in constitutive modeling is the availability of data at different","Chunk 14: The aim of this project is to develop new methods for the study of the laws of thermodynamics, i.e."
15,"time- and length-scales. However, with the increase of computational power, it is nowadays possible to foresee micromechanical simulations that can account for realistic physics and explore stress paths and non-linear phenomena, which are experimentally inaccessible with the current methods. Of course, some constitutive assumptions will be always necessary, but these might be at a smaller scale, where the material properties are measurable and",Chunk 15: The aim of this project is to develop a new generation of simulations for the study of micromechanical phenomena.
16,"easier to identify. This scale is for instance the scale of the microstructure of a material (e.g. the scale of sand grains, crystals, alloys' grains, composites' fibers, masonry bricks' etc. including their topological configuration). However, it is likely that the existing constitutive models might not be sufficient for describing complex material behaviors emerging from the microstructure. Therefore, calibration",Chunk 16: The aim of this project is to develop a new scale for describing the microstructure of materials.
17,"(parameter fitting) of known constitutive descriptors might be insufficient for representing the full space of material response, provided by sophisticated micromechanical simulations. Moreover, micromechanical simulations have currently a tremendous calculation cost, which is impossible to afford in large-scale, non-linear, incremental simulations (e.g. Finite Elements) that are usually needed in applications (cf. Masi et al., 2020, 2018; Rattez et al., 2018a,b;",Chunk 17: The current state-of-the-art in materials science and engineering is limited by the limited number of descriptors that can be used to represent
18,"Collins-Craft et al., 2020; Lloberas Valls et al., 2019; Nitka et al., 2011; Eijnden et al., 2016; Feyel, 2003). A promising solution to this issue seems to be Machine Learning. According to Geron (2015), ""Machine Learning is the science (and art) of programming computers SO they can learn from data"" "" In the context of computer programming, learning is defined by Mitchell","Chunk 18: One of the major challenges in the area of computer science is the problem of learning from large amounts of data, which has been the focus of many"
19,"et al. (1997) as follows: ""A computer program is said to learn from experience E with respect to some task T and some performance measure P, if its performance on T, as measured by P, improves with experience"". In the frame of constitutive modeling, a Machine Learning program can learn the stress-strain behavior of a material, given examples of stress-strain increments, which are either determined experimentally or through detailed micromechanical",Chunk 19: Machine learning is a branch of computer science that aims to learn from experience.
20,"simulations. The data that the system uses to learn are called the training data-set and ""Corresponding author. Email addresses: lippo.masilec-mantes.fr (Filippo Masi), ioannis.stefanougec-nantes.fr (Ioannis Stefanou), paolovammuciduwsg.tr (Paolo Vannucci), victor.mafi-berthiertherdingerop.com (Victor Maffi-Berthier)",Chunk 20: This article is part of a series of letters from leading scientists about
