Chunk Number,Original Text Chunk,Summary
1,"HAL open science Combining Internal- and Extemal-Tainimglond: to Predict Non-Contact Injuries in Soccer Emmanuel Vallance, Nicolas Sutton-Charani, Abdelhak Imoussaten, Jacky","Chunk 1: Emmanuel Vallance, Nicolas Sutton-Charani,"
2,"Montmain, Stéphane Perrey > To cite this version: Emmanuel Vallance, Nicolas Sutton-Charani, Abdelhak Imoussaten, Jacky Montmain, Stéphane Per- rey. Combining Internal- and Extemal-Tmaininglonds to Predict Non-Contact Injuries in Soccer. Applied Sciences, 2020, 10 (15), pp.5261. 103390/app10156261. hal-02913576",Chunk 2: A new study suggests that a combination of internal and external factors can predict non-
3,"HAL Id: hal-02913576 https//Imt-mines-altes.halsciemce/hal-02913576v1 Submitted on 10 Aug 2020 HAL is a multi-disciplinary open access L'archive ouverte pluridisciplinaire HAL, est",Chunk 3: The archive of the French Academy of Sciences (HAL
4,"archive for the deposit and dissemination of sci- destinée au dépôt et à la diffusion de documents entific research documents, whether they are pub- scientifiques de niveau recherche, publiés ou non, lished or not. The documents may come from émanant des établissements d'enseignement et de teaching and research institutions in France or recherche français ou étrangers, des laboratoires abroad, or from public or private research centers. publics ou privés.","Chunk 4: The aim of this project is to make available to the public in France and abroad all the research documents entificed in the fields of science, technology, engineering"
5,FIFF applied MDPI sciences Article Combining Internal- and Extema-Training-loads to,Chunk 5: The International Food and Agriculture Organization (FAO) has
6,"Predict Non-Contact Injuries in Soccer Emmanuel Vallance 1,20, Nicolas Sutton-Charani 100, Abdelhak Imoussaten 10, Jacky Montmain 10 and Stéphane Perrey 1,* 1 EuroMov Digital Health in Motion, Univ Montpellier, IMTI Mines Ales, 340901 Montpellier, France; emmanuelvallanceaumontpelier.f: (E.V.); nicolassulton-charani@mines-alesf: (N.S.-C.);","Chunk 6: Predicting Non-Contact Injuries in Soccer Emmanuel Vallance, Nicolas Sutton-Charani"
7,"abdelhakimousaten@mines-alesf: (A.I.); dymommanéninesalstr (.M.) 2 Valenciennes Football Club, 59300 Valenciennes, France Correspondence: Pmepenymompler check for Received: 26 June 2020; Accepted: 27 July 2020; Published: 30 July 2020",Chunk 7: The board of directors of French Ligue 1 club Valen
8,updates Abstract: The large amount of features recorded from GPS and inertial sensors (external load) and well-being questionnaires (internal load) can be used together in a multi-dimensional non-linear machine learning based model for a better prediction of non-contact injuries. In this study we put forward the main hypothesis that the use of such models would be able to inform better about injury,Chunk 8: The aim of this study is to develop a machine learning based model for predicting non-contact injuries in sport.
9,"risks by considering the evolution of1 both internal and external loads over two horizons (one week and one month). Predictive models were trained with data collected by both GPS and subjective questionnaires and injury data from 40 elite male soccer players over one season. Various classification machine-learning algorithms that performed best on external and internal loads features were compared using standard performance metrics such as accuracy, precision, recall and the area under",Chunk 9: The aim of this study was to develop machine-learning algorithms that could predict football-related injuries.
10,"the receiver operator characteristic curve. In particular, tree-based algorithms based on non-linear models with an important interpretation aspect were privileged as they can help to understand internal and external load features impact on injury risk. For 1-week injury prediction, internal load features data were more accurate than external load features while for 1-month injury prediction, thel best performances of classifiers were reached by combining internal and external load features.","Chunk 10: In this study, classifiers based on internal and external load features have been used to predict football injuries."
