Chunk Number,Original Text Chunk,Summary
1,0 eBook  Big Book of Machine Learning Use Cases,Chunk 1: A selection of the best machine learning and artificial intelligence
2,"A collection of technical blogs, including code samples and notebooks  - ",Chunk 2: BBC News takes a look at some of the best
3,databricks EBOOK: BIG BOOK OF MACHINE LEARNIN G USE CASES 2ND EDITION 2 Contents CHAPTER 1:,Chunk 3: BBC News NI takes a look at some of the
4,Introduction 3 CHAPTER 2: Moneyball 2.0: Improving Pitch-by-Pitch Decision-Making With MLB's Statcast Data 4,Chunk 4: Moneyball 2.0: Improving Pitch-by-Pitch
5,CHAPTER 3: Improving On-Shelf Availability for Items With Out-of-Stock Modeling 14 CHAPTER 4: Using Dynamic Time Warping and MLflow to Detect Sales Trends,"Chunk 5: In this session, you'll learn how to"
6,Part 1: Understanding Dynamic Time Warping 20 Part 2: Using Dynamic Time Warping and MLflow to Detect Sales Trends 26 CHAPTER 5:,"Chunk 6: In this series, we look at some of the"
7,"Detecting Financial Fraud at Scale With Decision Trees and MLflow on Databricks 34 CHAPTER 6: Fine-Grained Time Series Forecasting at Scale With Prophet and Apache Spark"" 45","Chunk 7: In our series of papers on artificial intelligence, we look"
8,CHAPTER 7: Applying Image Classification With PyTorch Lightning on Databricks 52 CHAPTER 8: Processing Geospatial Data at Scale With Databricks,Chunk 8: Researchers at the Massachusetts Institute of Technology (MIT)
9,63 CHAPTER 9: Exploring Twitter Sentiment and Crypto Price Correlation Using Databricks 77 CHAPTER 10:,Chunk 9: BBC News takes a look back at some of the
10,Customer Case Studies 86 databricks EBOOK: BIG BOOK OF MACHINE LEARNING USE CASES 2ND EDITION 3,Chunk 10: BBC News takes a look at some of the key
11,"CHAPTER 1: Introduction Organizations across many industries are using machine learning to power new customer experiences, optimize business processes and improve employee productivity. From detecting financial fraud to improving the","Chunk 11: In our series of letters from African journalists, film-maker and"
12,"play-by-play decision-making for professional sports teams, this book brings together a multitude of practical use cases to get you started on your machine learning journey. The collection also serves as a guide - including code samples and notebooks - SO you can roll up your sleeves and dive into machine learning on the Databricks Lakehouse.","Chunk 12: If you want to learn how to use machine learning to make better decisions, then this is the book for you."
13,databricks EBOOK: BIG BOOK OF MACHINE LEARNING USE CASES 2ND EDITION 4 CHAPTER 2: Moneyball 2.0:,Chunk 13: BBC News NI looks at some of the key stories
14,"Introduction Improving Pitch-by-Pitch The Oakland Athletics baseball team in 2002 used data analysis and quantitative modeling to identify Decision-Making With undervalued players and create a competitive lineup on a limited budget. The book ""Moneyball,"" written",Chunk 14: This lecture is part of a series on the intersection of economics and sport.
15,"MLB's Statcast Data by Michael Lewis, highlighted the A's '02 season and gave an inside glimpse into how unique the team's strategic data modeling was for its time. Fast-forward 20 years - the use of data science and quantitative modeling is now a common practice among all sports franchises and plays a critical role in scouting, roster construction, game-day operations and season planning.","Chunk 15: In 1998, the Oakland Athletics became the first team in Major League Baseball to use data science in a major way."
16,KEY PlayerTacking PachtoPweTading PowerCable 110V,Chunk 16: BBC Sport takes a look back at some of the
17,FbreCable -r dvidual Supply Tecr nov 0 By Max Wittenberg,Chunk 17: BBC News NI takes a look at some of the
18,1oV nev Core S noV 1,Chunk 18: BBC Sport takes a look at some of the key
19,"Figure 1: Position and scope of Hawkeye cameras at ab baseball stadium databricks EBOOK: BIG BOOK OF MACHINE LEARNING USE CASES 2ND EDITION In 2015, Major League Baseball (MLB) introduced Statcast, a set of cameras and teams are now able to make decisions that influence the outcome of the game,","Chunk 19: Major League Baseball (MLB) is the world's most popular sport, with more than 300 million fans tuning in"
20,"radar systems installed in all 30 MLB stadiums. Statcast generates up to seven pitch by pitch. It's been 20 seasons since the A's first introduced the use of data terabytes of data during a game, capturing every imaginable data point and modeling to baseball. Here's an inside look at how professional baseball teams metric related to pitching, hitting, running and fielding, which the system collects",Chunk 20: The Oakland Athletics are the first team in Major League Baseball to use a pitch-by-pitch tracking system called Statcast.
21,"use technologies like Databricks to create the modern-day ""Moneyball"" and gain and organizes for consumption. This explosion of data has created opportunities competitive advantages that data teams provide to coaches and players on to analyze the game in real time, and with the application of machine learning, the field.",Chunk 21: Major League Baseball (MLB) has become the most data-intensive sport in the world.
22,"2020-09- T00,00.00.000-0000 2020-09- :0 0000 2020-09- BT00:00:00 +0000 2020-09- 0000",Chunk 22: BBC Sport takes a look back at some of the
23,"2020-09- TO0:00:0 2020.09-1 18T00:00:00.000 0-0000 AROAISTDAOAOAONOAN 1.8 2020-09- 18100.0000.000-0000 39.7 SI 2020-09-1 18100,00.00.000-0000 9.8",Chunk 23: Greek Prime Minister Alexis Tsipras says he will seek a
24,578428 35411 FF EARGAHISTDARAOAROAGQON A Figure 3: Sample of data collected by Statcast 6,Chunk 24: Norway's unemployment rate has fallen to its lowest
25,. A3 Figure 2: Numbers represent events during a play captured by Statcast databricks EBOOK: BIG BOOK OF MACHINE LEARNIN G USE CASES 2ND EDITION,Chunk 25: BBC Sport looks at the key statistics behind England'
26,"6 Background Data teams need to be faster than ever to provide analytics to coaches and 23 seconds, and this window of time represents a benchmark from which players SO they can make decisions as the game unfolds. The decisions made from",Chunk 26: BBC Sport takes a look at some of the key takeaways from this year's Rugby World Cup
27,Statcast data can be ingested and processed for coaches to use to make real-time analytics can dramatically change the outcome of a game and a team's decisions that can impact the outcome of the game. season. One of the more memorable examples of this was in game six of the 2020 2. Real-Time Analytics: Another competitive advantage for teams is the,Chunk 27: Real-time analytics is a competitive advantage for teams.
28,"World Series. The Tampa Bay Rays were leading the Los Angeles Dodgers 1-0 in creation of insights from their machine learning models in real time. the sixth inning when Rays pitcher Blake Snell was pulled from the mound while An example of this is knowing when to substitute out a pitcher from fatigue, pitching arguably one of the best games of his career, a decision head coach Kevin",Chunk 28: One of the most remarkable moments of this year's World Series came in the sixth inning.
29,"where a model interprets pitcher movement and data points created Cash said was made with the insights from their data analytics. The Rays went on from the pitch itself and is able to forecast deterioration of performance to lose the game and World Series. Hindsight is always 20-20, but it goes to show pitch by pitch.",Chunk 29: Tampa Bay Rays manager Kevin Cash spoke to the media on Monday about the team's use of artificial intelligence.
30,"how impactful data has become to the game. Coaching staff task their data teams with assisting them in making critical decisions - for example, should a pitcher 3. Ease of Use: Analytics teams run into problems ingesting the volumes of throw another inning or make a substitution to avoid a potential injury? Does a data Statcast produces when running data pipelines on their local computers.",Chunk 30: What are the main challenges faced by Major League Baseball's analytics teams?
31,"player have a greater probability of success stealing from first to second base, This gets even more complicated when trying to scale their pipelines to or from second to third? capture minor league data and integrate with other technologies. Teams want a collaborative, scalable analytics platform that automates data ingestion","Chunk 31: When it comes to stealing bases, baseball teams have a lot of data to work with."
