Chunk Number,Original Text Chunk,Summary
1,HAL open science A synchrotron transmission X-ray microscopy study on precipitate evolution during solid-state thermal cycling of a stainless steel,Chunk 1: Researchers at the Massachusetts Institute of Technology (MIT)
2,"S. Gaudez, M. Ben Haj Slama, E. Heripre, L. Yedra, M. Scheel, S. Hallais, M.V. Upadhyay > To cite this version: S. Gaudez, M. Ben Haj Slama, E. Heripre, L. Yedra, M. Scheel, et al.. A synchrotron transmission X-ray microscopy study on precipitate evolution during solid-state thermal cycling of a stainless steel.",Chunk 2: A synchrotron transmission X-ray microscopy study on precipitate evolution during solid-state thermal cycling of a stainless steel.
3,"Additive Manufacturing, 2023, 73, pp.103692. 10.1016/j.addma.2023.103692 . hal-04162259 HAL Id: hal-04162259 https//halscience/la-04162259V1 Submitted on 14 Jul 2023 HAL is a multi-disciplinary open access",Chunk 3: The UK's Department of Defence (Df
4,"L'archive ouverte pluridisciplinaire HAL, est archive for the deposit and dissemination of sci- destinée au dépôt et à la diffusion de documents entific research documents, whether they are pub- scientifiques de niveau recherche, publiés ou non, lished or not. The documents may come from émanant des établissements d'enseignement et de teaching and research institutions in France or recherche français ou étrangers, des laboratoires","Chunk 4: L'archive ouverte pluriaire HAL, est archive for the deposit and dissemination of sci-ific research documents, whether they are pub-"
5,"abroad, or from public or private research centers. publics ou privés. A synchrotron transmission X-ray microscopy study on precipitate evolution during solid-state thermal cycling of a stainless steel S. Gaudezl,+, M. Ben Haj Slama1,2,++, E. Heripre2,+++, L. Yedra3, M. Scheel4,",Chunk 5: The European Research Council (ERC) is a member of the European Union.
6,"S. Hallais/, M.V. Upadhyayl,* 1 Laboratoire de Mécanique des Solides (LMS), CNRS UMR 7649, Ecole Polytechnique, 91128 Palaiseau, France 2 Université Paris-Saclay, CentraleSupélec, ENS Paris-Saclay, CNRS, Laboratoire de Mécanique Paris-Saclay, 91190, Gif-sur-Yvette, France",Chunk 6: A new method for the analysis of the impact of climate change on the
7,"3 University of Barcelona, Department of Electronics and Biomedical Engineering and Institute of Nanoscience and Nanotechnology (IN2UB), 08028 Barcelona, Catalonia, Spain 4 Synchrotron SOLEIL, 91190 Saint-Aubin, France ""Corresponding author, Email: manasatpadhyay@polytechmique.edu Current address:","Chunk 7: 1 University of Barcelona, Department of Electronics and Biomedical Engineering and Institute of"
8,"+ Photons for Engineering and Manufacturing, Paul Scherrer Institut, Forschungsstrasse 111, 5232 Villigen PSI, Switzerland ++ Bruker Nano GmbH, Am Studio 2D, 12489 Berlin, Germany. +++ PIMM, Arts et Metiers Institute of Technology, CNRS, Cnam, HESAM Universite, 151 Boulevard de l'Hopital, 75013 Paris, France.",Chunk 8: The conference will be held at the following locations:
9,"Keywords X-ray nanotomography; micropillar; heat treatment; machine learning; finite element modeling Abstract During additive manufacturing of stainless steels, sub-micron sized oxide (i.e., MnSiO3, SiO2, and CrMn,04) and non-oxide (i.e., sulfide, in particular MnS, and possibly carbides, phosphides and ni-",Chunk 9: The impact of additive manufacturing on the production of stainless steel.
10,"trides) precipitates form during solidification. But do they evolve during the subsequent solid-state ther- mal cycling (SSTC) until the end of the printing process? A recent study on subjecting thin-film lamellae extracted from an additively manufactured stainless steel to heating-cooling treatments inside a transmis- sion electron microscope (TEM) confirmed that precipitate composition can indeed evolve during SSTC. However, that study could not provide any conclusive evidence on precipitate volume fraction, density,","Chunk 10: Graphene-based 3D printing has been used to produce a wide range of materials, from ceramics to textiles."
