Chunk Number,Original Text Chunk,Summary
1,UNIVERSITE DR < YAHIA FARES > DE MEDEA Faculté des Sciences Département de Mathématique et Informatique Année universitaire : 2018-2019 Interrogatoire : Théorie et pratique du Datamining,Chunk 1: Researchers at the University of Rennes in France are developing new
2,Durée : 75 mn Exercice 01 (03 pts : 10 Mn) : Répondez brièvement aux questions suivantes : 1. Expliquer le fonctionnement de la méthode de rééchantionnage Bootstrap ?. 2. Plusieurs domaines sont la base des techniques de Datamining. Citez cinq domaines ? 3. Es ce qu'une règle d' association avec un support et une confiance acceptable veut dire que cette règle,Chunk 2: Durée : 75 Exercice 01 (03 pts : 10 Mn) : Répondez aux questions suivantes
3,est pertinente ? expliquez notamment avec des exemples ? Exercice 02 (08 pts : 40 Mn) : Le tableau suivant contient des données sur les No Doublant Série Mention Classe,Chunk 3: Le tableau suivant contient des dons sur les No
4,résultats obtenus par des étudiants de Tronc Commun 01 Non Maths ABien Admis (première année à Université). Chaque étudiant est 02 Non,Chunk 4: Chaque étudiant s'est
5,"Techniques ABien Admis décrit par 3 attributs : Est-il doublant ou non, la série 03 Oui Sciences ABien Non Admis",Chunk 5: Une Technique ABien Admis s'
6,du Baccalauréat obtenu et la mention. Les étudiants 04 Oui Sciences Bien Admis sont répartis en deux classes : Admis et Non Admis. 05 Non,"Chunk 6: Bien Admis, nous avons "
7,Maths Bien Admis On veut construire un arbre de décision à partir des 06 Non Techniques Bien,Chunk 7: Maths Bien Admis On veut construire
8,"Admis données du tableau, pour rendre compte des éléments 07 Oui Sciences Passable Non Admis qui influent sur les résultats des étudiants en Tronc 08 Oui",Chunk 8: Une série de sciences passable non Ad
9,Maths Passable Non Admis Commun. Les lignes de 1 à 12 sont utilisées comme 09 Oui Techniques Passable Non Admis données d'apprentissage. Les lignes restantes (de 13 à 10 Oui,"Chunk 9: Exam questions and answers for the GCSEs in maths, English and"
10,Maths TBien Admis 11 Oui,Chunk 10: A look back at some of the key moments in
11,Techniques TBien Admis 16) sont utilisées comme données de tests. 12 Non Sciences,Chunk 11: Tests for tuberculosis (TB) are increasingly being used
12,TBien Admis 1. Utiliser les données d'apprentissage pour 13 Oui Maths Bien,Chunk 12: Une tte tte
13,Admis construire I'(les) arbre(s) de décision en utilisant 14 Non Sciences ABien Non Admis l'algorithme ID3. Montrez toutes les étapes et 15 Non,Chunk 13: Montrez toutes les étapes et
14,Maths TBien Admis formules de calcul. Dessinez l'arbre final. 16 Non,Chunk 14: The BBC's science and technology correspondent Tomi
15,"Maths Passable Non Admis 2. Déduire de l'arbre trouvé la petite règle correspondante. 3. Classer l'instance N°17: Doublant-Oui, Série-Maths, Mention-ABien. Que remarquez-vous ? 4. Quels sont les résultats de test de l'arbre obtenu sur les données de tests ? déduisez le taux d'erreur ? En",Chunk 15: How many of the following do you remember from last year's exam?
16,"comparant les résultats obtenus, que suggérez-vous concernant l'arbre résultante ? 5. En se basant sur la comparaison et la suggestion de la question 5, que pouvez dire sur la prédiction de l'avenir des étudiants de tronc commun par rapport aux résultats obtenus au baccalauréat. Exercice 03 (04 pts : 10 Mn). : Soit l'ensemble D des entiers suivants : D= £2,5,8, 10, 11, 18, 20 j. On veut répartir les données de D en",Chunk 16: Les entiers suivants ont t t t t t t t t 
17,"trois (3) clusters en utilisant l'algorithme Kmeans et la distance de manhathan 1/ Appliquez Kmeans en choisissant comme centres initiaux des 3 clusters respectivement : 8, 10 et 11. Montrez toutes les étapes de calcul. 2/ Donnez le résultat final et précisez le nombre d'itérations qui ont été nécessaires. 3/ Peut-on avoir un nombre d'itérations inférieur pour ce problème ? Discutez.",Chunk 17: Une tte--tte de manhathan s'est utilisant  l'
18,Good To succeed in life one must have the courage to pursue what he wants CK Enseignant : M' K. Boudjebbour Page 1/1 1,Chunk 18: Good To succeed in life one must have the courage
19,UNIVERSITE: DR < YAHIA FARES > DE MEDEA Faculté des Sciences Département de Mathématiques et Informatique Année universitaire : 2018-2019 Corrigé type EFS S1 : Théorie et pratique du Datamining,Chunk 19: The European Bioinformatics Institute (EBI) at the University of Nottingham
20,"Exercice 01 (06 Pts) : a) Appliquer la classification hiérarchique ascendante sur l'ensemble X X 1 2 9 12 20 On va utilisé la distance de Manhattan entre instances : D(X,Y) = Li-Xi - Yil Et la distance minimale entre toutes les paires de données des 2 clusters (single link method) :",Chunk 20: The BBC's science and technology team looks at the latest astronomical data from around the world.
21,"Dsinglel(i.j) = MinxEi y€j D(X,Y) 0.5.PE Les tableaux suivants représentent les différentes distances Dsingle entre différents clusters : Etape 1 : 1 2 9 12 20",Chunk 21: Dsinglel(i.j) = Minx
22,"1 1 8 11 19 2 7 10 18 Regroupement des clusters (1) et [2) en (1,2)",Chunk 22: Regroupement des clusters (1) et (2) en (1
23,9 3 11 12 8 Etape 2 :,Chunk 23: BBC Sport takes a look back at some of the
24,"1,2 9 12 20 3.Pt 1,2 7 10 18 Regroupement des clusters [9) et (12) en [9,12) 9",Chunk 24: BBC Sport outlines the key statistics behind England's
25,"3 11 12 8 Etape 3: 1,2 9,12 20",Chunk 25: BBC Sport takes a look back at some of the
26,"1,2 7 18 Regroupement des clusters (1,2) et [9,12) en (1,2,9,12) 9,12 8","Chunk 26: Regroupement des clusters (1,2) et en"
27,"Etape 4 : 1,2,9,12 20 1,2,9,12 8 Regroupement des clusters (1,2,9,12) et (20) en (1,2,9,12,20)","Chunk 27: Regroupement des clusters (1,2,9,12)"
28,"Dsingle Dendrogramme : b) L'inertie intra-cluster IA = Ek ENK D?(i,Gk) i: instance ; Gk : centroid du groupe k ; Nk : Nombre d'instance du groupe k",Chunk 28: The full text of the Dendrogramme can be found
29,"1Pt Un regroupement en 2 clusters : CI=(1,2,9,12) centroid C1 =6 6 C2=(20) centroid C2 = 20 1.5.Pti",Chunk 29: Un regroupement en 2 clusters : CI=
30,IA= ((1-6)2+ (2-6)2+ (9-6)2+ (12-6)2)+ (20-20)2-86 Données 1 2 9,Chunk 30: Match reports from the first round of the Irish Open
31,"12 20 Uni regroupement en 3 clusters : Cl-(1,2)-centroid C1=1,5 C2-19,12)centroid C2 = 10,5 et C3-(20)centroid C3 = 20 IA= ((1-1,5)2+ 2-1,5)4(9-105)4 (12-10,5)2)+ (20-20)2-5",Chunk 31: The full set of results from this year's
32,Donc le meilleur regroupement est celui de 3 clusters car son inertie intra-cluster IA est la plus petite. Enseignant : M' K. Boudjebbour Page 1/4 UNIVERSITE: DR < YAHIA FARES > DE MEDEA Faculté des Sciences,Chunk 32: Le meilleur regroupement de clusters car son inertie intra-cluster IA
33,Département de Mathématiques et Informatique Année universitaire : 2018-2019 Exercice 02 (09 Pts) : 11 11 7,"Chunk 33: All photographs courtesy of AFP, EPA, Getty Images"
34,"7 1) On calcul l'entropie sur l'ensemble des données : I(11,7)= log log - 0,964 0,5PE 18","Chunk 34: All photographs courtesy of AFP, EPA, Getty Images"
35,18 18 18 Ensuite on calcul le gain de chaque attribut : 6 6,Chunk 35:  Subscribe to BBC News HERE: http://
36,"6 Gain (DegStr)= d1,72EDe5-0964G I(3, 3)+ I(3,3) + I(5,1))= 0,081 18 18 18",Chunk 36: The winning numbers in Saturday evening's drawing of
37,"6 6 6 Gain (HrSom)= d1,7-Edlisom)-096H I(6,0)+ I(1,5) + I(4,2))= 0,441 1Pt",Chunk 37: The winning numbers in Saturday evening's drawing of
38,18 18 18 9 9,Chunk 38: BBC Sport takes a look back at some of the
39,"Gain (Fum)= d17-E(um)-0.964-G I(4,5)+ I(7,2))= 0,086 18 18 Donc on choisit l'attribut < HrSom > avec le gain le plus grand (Gain-0.411) qui représente la racine de l'arbre, Donc l'arbre initial sera :",Chunk 39: L'arbre de l'at Som s
40,HrSom 0.5.Pt Egal Supérieur Moins,Chunk 40: Egal Supérieur Moins - Egal
41,"* Inst : 5, à 12 ??? - ??? Inst : 13 à 18 Yes",Chunk 41: The European Court of Human Rights (ECHR)
42,"Les valeurs Egal et Supérieur donnent deux valeurs de la classe, donc, il faut refaire le même travail (calcul du gain) pour l'ensemble des données S#13.4.9.10,15,16) et 515.611,2.7.8. I(SEg) =I(1,5)-0,650 2 Gain (SEg, DegStr)= I(1,5)-E(SEg, DegStr)= 0,650-C I(0,2)+ I(0,2) + 2 I(1,1))= 0,317","Chunk 42: Les valeurs de la classe, donc, donnent deux valeurs de la"
43,6 6 6 3 3,Chunk 43: BBC Sport takes a look back at some of the
44,"Pt Gain (SEg: Fum)= I(1,5)-E(SEg Fum)= 0,650-C I(0,3)+ I(1,2))= 0,191 6 6 HrSom Donc on choisit l'attribut < DegStr > avec",Chunk 44: Pt Gain (SEg: Fum)=
45,"Egal Supérieur K a le gain le plus grand (Gain-0.317), et l'arbre devient :",Chunk 45: Egal Supérieur K a le gain le
46,DegStr Moins y ??? Petit ou Normal,Chunk 46: DegStr Moins y y Petit ou Normal
47,Fort Yes Inst : 13 à 18 A No,Chunk 47:     
48,"Fum Non Oui I(SSup) I(4,2)-0,919 4",Chunk 48: Fum Non Oui I(SSup)
