Chunk Number,Original Text Chunk,Summary
1,Polycopié RO pour le GI Modèles stochastiques pour la prise de décision Mohammed Hadda 4ème année GI-IADS (2022-2023),The International Institute for Strategic Studies (IISS)
2,ENSAM de Meknès Université Moulay Ismail Table des matières 1 Introduction,A chronology of key events in the history of the
3,5 2 Notions générales de probabilités 7 2.1 Espace probabilisé,The BBC News website looks at some of the key
4,7 2.1.1 Espace mesurable 7 2.1.2 Mesurabiité 8,"Espace mesurable, mesurabiité"
5,2.1.3 Probabilités conditionnelles : 10 2.1.4 Mesure image; Lois 10 2.1.5 Variables aléatoires discrètes,Aléatoires discrtes 
6,11 2.1.6 Lois discrètes usuelles : 11 2.1.7 Variables aléatoires réelles et Lois à densité 14,"Lois de la Roche-Sur-Yon,"
7,2.2 Théorèmes de convergence 16 2.2.1 Lois des grands nombres : 16 2.2.2 Théorème central limite :,Lois des grands nombres : 16
8,16 3 Simulation de Variables aléatoires 19 3.1 Simulation de Variables aléatoires discrètes,Simulation de aléatoires discr
9,19 3.2 Simulation de Variables aléatoires à densité 19 3.2.1 Simulation d'une v.a. admettant une densité continue par inversion de la fonction de répartition,Simulation de Variables aléatoires 
10,19 3.2.2 Simulation d'une va. bornée à densité bornée par la méthode de rejet 20 3.2.3 Simulation d'une loi normale : 20,Simulation d'une loi normale :
11,3.3 Méthode de Monte Carlo pour le calcul des intégrales et des moments : 20 3.3.1 Méthode 20 3.3.2 Précision (estimation d'erreur) :,"All photographs courtesy of AFP, EPA, Getty Images"
12,21 3.3.3 Inérêts de la méthode 21 3.3.4 Calcul approché des moments 21,"All photographs courtesy of AFP, EPA, Getty Images"
13,"3.4 Méthode de ""simulation Monte Carlo"" 22 4 Modèles stochastiques 23","All photographs courtesy of AFP, EPA, Getty Images"
14,4.1 Processus stochastiques 23 4.1.1 Introduction 23 4.1.2 Processus stochastiques,Processus stochastiques 23 :
15,23 4.2 Processus de Wiener ou mouvement brownien 24 4.3 Processus gaussien 25,"All photographs  AFP, EPA, Getty Images"
16,4.4 Processus de Poisson 25 4.5 Chaines de Markov 25 4.5.1 définitions et propriétés,The following table lists the most common Markov chains used
17,25 4.5.2 Probabilités et matrice de transition 26 4.5.3 Propriétés des chaines de Markov homogènes 27,A look at some of the key findings from the
18,4.5.4 Classification des états d'une une chaine de Markov 31 4.5.5 Lois ou probabilités stationnaires: : Temps moyen de premier retour 36 4.6 Application :,The BBC's science and technology correspondent Tomi
19,39 5 Processus de décision markoviens 43 5.1 Processus de décision markoviens,"All photographs courtesy of AFP, EPA, Getty Images"
20,43 5.2 Problèmes décisionnels de Markov 53 5.3 Politiques d'actions 53,A look at some of the key stories from the
21,5.4 Politique markovienne et chaine de Markov valuée 55 5.5 Critères de pertormance 56 5.6 Fonctions de valeur,Politique markovienne et chaine de Markov
22,57 5.6.1 1-cas du crière fini 57 5.6.2 2- cas du crière moyen 57,The winning numbers in Saturday evening's drawing of
23,5.7 Politiques markoviennes 58 5.7.1 Equivalence des politiques nstolre-dépendontes et markoviennes 58 5.8 Caractérisation des politiques optimales,Politiques markoviennes 58 5.7.1
24,58 5.8.1 Cas du critère fini 58 5.8.2 Cas du critère moyen 60,BBC Sport takes a look at some of the key
25,5.9 Algorithmes de résolution des MDP 61 5.10 Etude de cas et Application Industrielle; cas d'un MDP 63 5.10.1 Exemple de système de production,The following table summarises the key findings from the
26,63 2 % O o,A look back at some of the most memorable moments
27,- G 9 / - 1,BBC Sport takes a look back at some of the
28,2 % o 39 G -,BBC Sport takes a look back at some of the
29,"5 1. Introduction 1 Dans le cas d'un problème d'optimisation déterministe, les valeurs de tous les paramètres sont supposées connues.",The following is a guide to the main points of
30,"Alors que dans un problème d'optimisation stochastique un certain nombre de paramètres peuvent être considérés comme inconnues et sont modélisés par des variables aléatoires. Plus généralement, l'incertitude est représentée par des expériences aléatoires dont l'issue est notée Q. L'ensemble de toutes les issues possibles est l'espace fondamental . Par exemple, si les éléments de 2 sont les conditions climatiques, ils permettent de décrire des",Les conditions climatiques aléatoires peuvent tre considérés et sont modélisés par des variables a
31,"variables aléatoires telles que la consommation éléctrique. Ainsi, L'optimisation stochastique est un cadre qui permet de formuler un problème d'optimisation dans lequel les données sont incertaines (par exp. les prix des énergies). C' est aussi un ensemble de méthodes et de techniques de résolution. Dans un problème d'optimisation stochastique, on cherche souvent à prendre une décision avant",L'optimisation stochastique est un cadre qui permet de formuler un problme d'opt
32,que les valeurs des réalisations des variables aléatoires ne soient observées. 2 % O o,C'est un peu t-
33,- G 9 / - 1,BBC Sport takes a look back at some of the
34,2 % S% - 2. Notions générales de probabilités,The number of people who have died as a result
35,"Dans ce chapitre introductif nous présentons les notions basiques de théorie des probabilités qui seront utilisées dans la suite de ce cours. 2.1 Espace probabilisé 2.1.1 Espace mesurable On considère un ensemble quelconque 2, qui modélise le caractère aléatoire d'un certain phéno-","Espace mesurable On considre un ensemble quelconque 2, qui"
36,"mène et portera dans la suite le nom d'ensemble fondamental, ou d'espace d'issues (des chances, d'échantillons). On note 9P(2) l'ensemble des parties de 2. Rappelons que si Card. 9P(2) - n; alors Card 9P(2) = 2"" : Par exp si 2 = (1,2,3) alors 9P(2) = 0,0),12),1).0.2) (1,3),12,3),2). Quand 2 est fini ou dénombrable, l'ensemble 9P(2) décrit les événements aléatoires associés à",Le nom d'ensemble 9P(2) peut--tre tre  l'occasion d'un
37,"l'expérience considérée. Quand 2 est infini non-dénombrable, l'ensemble 9P(2) est parfois trop gros pour pouvoir étudier mathématiquement la probabilité de ces événements. On a alors recours à la notion de tribu : Définition 2.1.1 Une tribu ou O-algèbre bg sur 2 est un sous-ensemble de 9(2) contenant 2 et vériflant les propriétés suivantes :",Une tribu ou O-algbre bg sur 2 est un sous-ensemble de 9(2)
