Chunk Number,Original Text Chunk,Summary
1,"HAL open science Data Treatment of In Situ Monitoring Systems in Selective Laser Melting Machines Pinku Yadav, Olivier Rigo, Corinne Arvieu, Emilie Le Guen, Eric Lacoste",Researchers at the University of Bristol have used lasers to monitor
2,"To cite this version: Pinku Yadav, Olivier Rigo, Corinne Arvieu, Emilie Le Guen, Eric Lacoste. Data Treatment of In Situ Monitoring Systems in Selective Laser Melting Machines. Advanced Engineering Materials, 2021, 23 (5), pp.2001327. 10100adem212I32T. hal-03483384 HAL Id: hal-03483384",In Situ Monitoring Systems in Selective Laser Melting Machines.
3,"https/halsclence/hal-0348384V1 Submitted on 16 Dec 2021 HAL is a multi-disciplinary open access L'archive ouverte pluridisciplinaire HAL, est archive for the deposit and dissemination of sci- destinée au dépôt et à la diffusion de documents",The HAL archive is a multi-disciplinary open access L'archive ouverte
4,"entific research documents, whether they are pub- scientifiques de niveau recherche, publiés ou non, lished or not. The documents may come from émanant des établissements d'enseignement et de teaching and research institutions in France or recherche français ou étrangers, des laboratoires abroad, or from public or private research centers. publics ou privés. CC)",The National Library of France has a collection of research documents.
5,"Distributed under a Creative Commons Attribution 4.0 International License Data Treatment of In-Situ Monitoring Systems in Selective Laser Melting Pinku Yadavb, Olivier Rigo"", Corinne Arvieu', Emilie Le Guen, Eric Lacosteb"" SIRRIS, Rue du Bois Saint-Jean 12, 4102 Seraing, Belgium",The aim of this study is to investigate the effects of in-situ monitoring systems
6,"bUniversité Bordeaux, I2M, UMR 5295, CNRS, F-33400 Talence, France * Corresponding Author: Enclacoste@u-pordeauxr Abstract Quality assurance of the final build part in L-PBF is greatly influenced by the various process steps such as Powder handling, Powder bed spreading, and Laser-material interaction. Each process step is interlinked",The quality of the final build part in L-PBF is greatly influenced by the various process steps such
7,"to each other and can affect the overall behavior of the succeeding steps. Therefore, it is vital to monitor each step individually, post-process, and establish a link among the data to develop an approach to quantify the defects via inline monitoring. This study focuses on using pre-and post-exposure powder bed image data and in-situ melt pool monitoring data to monitor the build's overall quality. Two Convolutional Neural Networks have been trained to treat the pre and post-exposure images with a trained accuracy of","The quality of the finished product can be affected by a number of factors, including the amount of material used, the temperature of the melt, and the amount of time taken to complete the process."
8,"93.16 % and 96.20 %, respectively. The supervised machine-learning algorithm called ""Support Vector Machine"" is used to classify and post-process the photodiodes data obtained from the melt pool monitoring. A case study on ""Benchmark Part"" is presented to check the proposed algorithms' overall working and detect abnormalities at three different process steps (Pre and Post-Exposure, Melt Pool Monitoring) individually. This study shows the potential of machine learning approaches to improve the","In this study, two supervised machine-learning algorithms are proposed to improve the melt pool monitoring and the detection of defects in the photodiodes."
9,"overall reliability of the L-PBF process by inter-linking the different process steps. Keywords: Machine Learning, Laser powder bed fusion, Quality assurance, Melt pool monitoring, Defect detection 1. Introduction Recently, Additive manufacturing (AM) has observed tremendous growth in various industries such as",The aim of this paper is to provide an overview of laser powder bed fusion (L-
10,"aerospace, biomedical, automotive, energy, and tooling due to its capability to manufacture complex parts with ease. According to Wohler's report of 2019, the metal additive manufacturing industry has shown record growth with an increase of 41.9 % [1). The reported growth indicates that the AM industry has significant potential in patient-specific medical implants, lightweight components for the aerospace and automotive sector, which eventually reduced fuel consumption. However, the process repeatability",The global metal additive manufacturing (AM) market is expected to grow at a significant rate during the forecast period.
