Chunk Number,Original Text Chunk,Summary,Source File
1,HAL open science Open-Loop Control System for High Precision Extrusion-Based Bioprinting Through Machine Learning Modeling,This video is part of the HAL Open Science programme,summarized_PIMM_JME_2024_HASCOET.csv
2,"Javier Arduengo, Nicolas Hascoet, Francisco Chinesta, Jean-Yves Hascoet A To cite this version: Javier Arduengo, Nicolas Hascoet, Francisco Chinesta, Jean-Yves Hascoet. Open-Loop Control System for High Precision Extrusion-Based Bioprinting Through Machine Learning Modeling. Journal of Machine Engineering, 2024, 24 (1), pp.103-117. 10.36897/me/18604. hal-04675399",Open-Loop Control System for High Precision Extrusion-Based Bioprinting Through Machine Learning Modeling.,summarized_PIMM_JME_2024_HASCOET.csv
3,"HAL Id: hal-04675399 https/halsclence/hal-046753991 Submitted on 22 Aug 2024 HAL is a multi-disciplinary open access L'archive ouverte pluridisciplinaire HAL, est",The Historical Archive of France (HAL) is a,summarized_PIMM_JME_2024_HASCOET.csv
4,"archive for the deposit and dissemination of sci- destinée au dépôt et à la diffusion de documents entific research documents, whether they are pub- scientifiques de niveau recherche, publiés ou non, lished or not. The documents may come from émanant des établissements d'enseignement et de teaching and research institutions in France or recherche français ou étrangers, des laboratoires abroad, or from public or private research centers. publics ou privés.","The aim of this project is to make available to the public in France and abroad all the research documents entificed in the fields of science, technology, engineering",summarized_PIMM_JME_2024_HASCOET.csv
5,"Journal ofMachine Engineering, 2024, Vol. 24, No. 1, 103-117 ISSN 1895-7595 (Print) ISSN 2391-8071 (Online) Received: 01 February 2024 / Accepted: 13 March 2024 / Published online: 19 March 2024 additive manufacturing, extrusion-based 3D bioprinting,",A new method for 3D bioprinting has been developed.,summarized_PIMM_JME_2024_HASCOET.csv
6,"machine learning modelling Javier ARDUENGO"", Nicolas HASCOET?, Francisco CHINESTA, Jean-Yves HASCOET' OPEN-LOOP CONTROL SYSTEM FOR HIGH PRECISION EXTRUSION-BASED BIOPRINTING THROUGH MACHINE LEARNING MODELLING","Researchers at the University of California, Berkeley, have",summarized_PIMM_JME_2024_HASCOET.csv
7,"Bioprinting is a process that uses 3D printing techniques to combine cells, growth factors, and biomaterials to create biomedical components, often with the aim of imitating natural tissue characteristics. Typically, 3D bioprinting adopts a layer-by-layer method, using materials known as bio-inks to build structures resembling tissues. This study introduces an open-loop control system designed to improve the accuracy of extrusion-based bioprinting techniques, which is composed of a specific experimental setup and a series of algorithms and models.",A new control system for 3D bioprinting has been developed.,summarized_PIMM_JME_2024_HASCOET.csv
8,"Firstly, a method employing Logistic Regression is used to select the tests that will serve to train and test the following model. Then, using a Machine Learning Algorithm, al model that allows the optimization of printing parameters and enables process control through an open-loop system was developed. Through rigorous experimentation and validation, it is shown that the model exhibits al high degree of accuracy in independent tests. Thus, the control system offers predictability and adaptability capabilities to ensure the consistent production","In this paper, an open-loop control system for a 3D printer is presented.",summarized_PIMM_JME_2024_HASCOET.csv
9,"of high-quality bioprinted structures. Experimental results confirm the efficacy of this machine learning model and the open-loop control system in achieving optimal bioprinting outcomes. 1. INTRODUCTION 3D Bioprinting, also known as Additive Biomanufacturing. is a process that involves positioning biomaterials and living cells layer by layer to create engineered tissues and organs",A machine learning-based control system for 3D bioprinting has been developed.,summarized_PIMM_JME_2024_HASCOET.csv
10,"in 3D, preserving cellular viability [1]. Bioinks, used in bioprinting, consist of natural or synthetic biomaterials mixed with living cells. They come in two main types: cell-based bioinks with live cells alone or hydrogel-based bioinks combined with cell-laden natural, synthetic, or decellularized tissue hydrogels. Coupled with post-processing to ensure the maturing of the living construct, the potential applications for bioprinting includes [2]: in vitro","Researchers at the University of California, Los Angeles (UCLA), have developed a new type of 3D printer that uses bioinks to create living constructs",summarized_PIMM_JME_2024_HASCOET.csv
